Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,468,1,2018-10-16,GSW,,OKC,W 108-100,*,32:45,1,6,.167,0,1,.000,1,5,.200,.167,0,0,,1,12,13,5,3,0,6,3,2,1.8,2
2,469,2,2018-10-19,GSW,@,UTA,W 124-123,*,33:12,6,12,.500,1,3,.333,5,9,.556,.542,1,2,.500,2,7,9,6,1,2,5,5,14,10.7,3
3,470,3,2018-10-21,GSW,@,DEN,L 98-100,*,33:14,1,4,.250,0,1,.000,1,3,.333,.250,2,4,.500,1,4,5,4,1,0,3,5,4,1.5,4
4,471,4,2018-10-22,GSW,,PHO,W 123-103,*,27:34,1,4,.250,0,2,.000,1,2,.500,.250,3,3,1.000,0,5,5,8,4,0,2,4,5,10.1,18
5,472,5,2018-10-24,GSW,,WAS,W 144-122,*,28:01,2,3,.667,1,2,.500,1,1,1.000,.833,0,0,,0,5,5,12,1,0,5,4,5,8.0,14
6,473,6,2018-10-26,GSW,@,NYK,W 128-100,*,32:13,7,8,.875,2,3,.667,5,5,1.000,1.000,2,2,1.000,1,3,4,6,3,1,4,4,18,19.1,12
7,474,7,2018-10-28,GSW,@,BRK,W 120-114,*,36:19,4,9,.444,0,3,.000,4,6,.667,.444,0,0,,1,3,4,13,5,0,1,1,8,17.6,-8
8,475,8,2018-10-29,GSW,@,CHI,W 149-124,*,25:07,1,5,.200,0,1,.000,1,4,.250,.200,1,2,.500,1,6,7,12,1,2,0,0,3,12.8,34
9,476,9,2018-10-31,GSW,,NOP,W 131-121,*,34:12,6,10,.600,2,5,.400,4,5,.800,.700,2,3,.667,1,13,14,8,0,1,2,4,16,18.3,1
10,477,10,2018-11-02,GSW,,MIN,W 116-99,*,33:04,4,7,.571,0,2,.000,4,5,.800,.571,1,2,.500,2,7,9,11,1,3,4,3,9,14.4,24
11,478,11,2018-11-05,GSW,,MEM,W 117-101,*,13:41,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,4,4,2,0,1,2,1,0,0.2,-3
11,,12,2018-11-08,GSW,,MIL,L 111-134,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
11,,13,2018-11-10,GSW,,BRK,W 116-100,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
12,479,14,2018-11-12,GSW,@,LAC,L 116-121 (OT),*,42:42,3,9,.333,0,2,.000,3,7,.429,.333,0,0,,1,13,14,1,3,0,4,3,6,4.0,-2
12,,15,2018-11-13,GSW,,ATL,W 110-103,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
13,480,16,2018-11-15,GSW,@,HOU,L 86-107,*,23:47,0,3,.000,0,2,.000,0,1,.000,.000,0,0,,0,5,5,5,1,0,5,3,0,-2.3,-10
13,,17,2018-11-17,GSW,@,DAL,L 109-112,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
13,,18,2018-11-18,GSW,@,SAS,L 92-104,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
13,,19,2018-11-21,GSW,,OKC,L 95-123,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
13,,20,2018-11-23,GSW,,POR,W 125-97,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
13,,21,2018-11-24,GSW,,SAC,W 117-116,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
13,,22,2018-11-26,GSW,,ORL,W 116-110,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
13,,23,2018-11-29,GSW,@,TOR,L 128-131 (OT),Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
13,,24,2018-12-01,GSW,@,DET,L 102-111,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
13,,25,2018-12-03,GSW,@,ATL,W 128-111,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
13,,26,2018-12-05,GSW,@,CLE,W 129-105,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
13,,27,2018-12-07,GSW,@,MIL,W 105-95,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
